	e7.5	e7.5	e7.5	e7.5	e7.5
GFI1_MOUSE.H11MO.0.C	3.7694208854770965e-4	3.7694208854770965e-4	3.7694208854770965e-4	3.7694208854770965e-4	3.7694208854770965e-4
GFI1B_MOUSE.H11MO.0.A	5.287946220949762e-4	5.287946220949762e-4	5.287946220949762e-4	5.287946220949762e-4	5.287946220949762e-4
GLI1_MOUSE.H11MO.0.C	5.346995893332318e-4	5.346995893332318e-4	5.346995893332318e-4	5.346995893332318e-4	5.346995893332318e-4
GLI2_MOUSE.H11MO.0.D	5.7815169620015775e-5	5.7815169620015775e-5	5.7815169620015775e-5	5.7815169620015775e-5	5.7815169620015775e-5
GLI3_MOUSE.H11MO.0.D	6.409129453043789e-4	6.409129453043789e-4	6.409129453043789e-4	6.409129453043789e-4	6.409129453043789e-4
GLIS3_MOUSE.H11MO.0.D	2.805306334950767e-4	2.805306334950767e-4	2.805306334950767e-4	2.805306334950767e-4	2.805306334950767e-4
GRHL2_MOUSE.H11MO.0.A	3.678616873985728e-4	3.678616873985728e-4	3.678616873985728e-4	3.678616873985728e-4	3.678616873985728e-4
HAND1_MOUSE.H11MO.0.C	8.15904096616754e-4	8.15904096616754e-4	8.15904096616754e-4	8.15904096616754e-4	8.15904096616754e-4
HAND1_MOUSE.H11MO.1.C	1.6243097458015175e-3	1.6243097458015175e-3	1.6243097458015175e-3	1.6243097458015175e-3	1.6243097458015175e-3
HBP1_MOUSE.H11MO.0.D	1.3332403342322796e-4	1.3332403342322796e-4	1.3332403342322796e-4	1.3332403342322796e-4	1.3332403342322796e-4
HEN1_MOUSE.H11MO.0.C	1.1305524387525494e-3	1.1305524387525494e-3	1.1305524387525494e-3	1.1305524387525494e-3	1.1305524387525494e-3
HES1_MOUSE.H11MO.0.D	5.607771062922053e-4	5.607771062922053e-4	5.607771062922053e-4	5.607771062922053e-4	5.607771062922053e-4
HESX1_MOUSE.H11MO.0.D	3.3656077660893587e-4	3.3656077660893587e-4	3.3656077660893587e-4	3.3656077660893587e-4	3.3656077660893587e-4
HEY2_MOUSE.H11MO.0.D	9.758610496845297e-4	9.758610496845297e-4	9.758610496845297e-4	9.758610496845297e-4	9.758610496845297e-4
HIC1_MOUSE.H11MO.0.C	3.067267424804499e-4	3.067267424804499e-4	3.067267424804499e-4	3.067267424804499e-4	3.067267424804499e-4
HIF1A_MOUSE.H11MO.0.C	3.531341041372016e-4	3.531341041372016e-4	3.531341041372016e-4	3.531341041372016e-4	3.531341041372016e-4
HINFP_MOUSE.H11MO.0.C	2.4456377178669434e-4	2.4456377178669434e-4	2.4456377178669434e-4	2.4456377178669434e-4	2.4456377178669434e-4
HLF_MOUSE.H11MO.0.C	1.8915100074466857e-4	1.8915100074466857e-4	1.8915100074466857e-4	1.8915100074466857e-4	1.8915100074466857e-4
HLTF_MOUSE.H11MO.0.D	4.501116577063512e-4	4.501116577063512e-4	4.501116577063512e-4	4.501116577063512e-4	4.501116577063512e-4
HMGA1_MOUSE.H11MO.0.D	1.5211465395236688e-4	1.5211465395236688e-4	1.5211465395236688e-4	1.5211465395236688e-4	1.5211465395236688e-4
HMGA2_MOUSE.H11MO.0.D	3.956494528161244e-5	3.956494528161244e-5	3.956494528161244e-5	3.956494528161244e-5	3.956494528161244e-5
HNF1A_MOUSE.H11MO.0.A	1.2081147841582405e-4	1.2081147841582405e-4	1.2081147841582405e-4	1.2081147841582405e-4	1.2081147841582405e-4
HNF1B_MOUSE.H11MO.0.A	3.5827435074784294e-4	3.5827435074784294e-4	3.5827435074784294e-4	3.5827435074784294e-4	3.5827435074784294e-4
HNF1B_MOUSE.H11MO.1.A	1.2638759328889758e-4	1.2638759328889758e-4	1.2638759328889758e-4	1.2638759328889758e-4	1.2638759328889758e-4
HNF4A_MOUSE.H11MO.0.A	5.536075045806145e-4	5.536075045806145e-4	5.536075045806145e-4	5.536075045806145e-4	5.536075045806145e-4
HNF4G_MOUSE.H11MO.0.C	5.988161729110392e-4	5.988161729110392e-4	5.988161729110392e-4	5.988161729110392e-4	5.988161729110392e-4
HNF6_MOUSE.H11MO.0.A	8.454184681533305e-5	8.454184681533305e-5	8.454184681533305e-5	8.454184681533305e-5	8.454184681533305e-5
HSF1_MOUSE.H11MO.0.A	7.26896004875611e-4	7.26896004875611e-4	7.26896004875611e-4	7.26896004875611e-4	7.26896004875611e-4
HSF1_MOUSE.H11MO.1.A	4.695221150562795e-4	4.695221150562795e-4	4.695221150562795e-4	4.695221150562795e-4	4.695221150562795e-4
