	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
ETS2_MOUSE.H11MO.0.A	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
ETV2_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
ETV4_MOUSE.H11MO.0.B	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
ETV5_MOUSE.H11MO.0.D	0.0	0.0	0.0	0.0	0.0	0.0
ETV6_MOUSE.H11MO.0.C	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
EVI1_MOUSE.H11MO.0.B	3.2818614044684002e-3	3.2818614044684002e-3	3.2818614044684002e-3	3.2818614044684002e-3	3.2818614044684002e-3	3.2818614044684002e-3
EVX1_MOUSE.H11MO.0.C	8.162578364959816e-3	8.162578364959816e-3	8.162578364959816e-3	8.162578364959816e-3	8.162578364959816e-3	8.162578364959816e-3
EVX2_MOUSE.H11MO.0.A	3.997138890057594e-3	3.997138890057594e-3	3.997138890057594e-3	3.997138890057594e-3	3.997138890057594e-3	3.997138890057594e-3
FEV_MOUSE.H11MO.0.B	8.415029242225813e-5	8.415029242225813e-5	8.415029242225813e-5	8.415029242225813e-5	8.415029242225813e-5	8.415029242225813e-5
FLI1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
FLI1_MOUSE.H11MO.1.A	0.0	0.0	0.0	0.0	0.0	0.0
FOS_MOUSE.H11MO.0.A	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
FOSB_MOUSE.H11MO.0.A	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
FOSL1_MOUSE.H11MO.0.A	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
FOSL2_MOUSE.H11MO.0.A	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
FOXA1_MOUSE.H11MO.0.A	4.375815205957867e-3	4.375815205957867e-3	4.375815205957867e-3	4.375815205957867e-3	4.375815205957867e-3	4.375815205957867e-3
FOXA2_MOUSE.H11MO.0.A	4.459965498380125e-3	4.459965498380125e-3	4.459965498380125e-3	4.459965498380125e-3	4.459965498380125e-3	4.459965498380125e-3
FOXA3_MOUSE.H11MO.0.A	3.2818614044684002e-3	3.2818614044684002e-3	3.2818614044684002e-3	3.2818614044684002e-3	3.2818614044684002e-3	3.2818614044684002e-3
