	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
FOSL2_MOUSE.H11MO.0.A	1.4447663203877134e-3	1.4447663203877134e-3	1.4447663203877134e-3	1.4447663203877134e-3	1.4447663203877134e-3	1.4447663203877134e-3
FOXA1_MOUSE.H11MO.0.A	2.5814663205664043e-4	2.5814663205664043e-4	2.5814663205664043e-4	2.5814663205664043e-4	2.5814663205664043e-4	2.5814663205664043e-4
FOXA2_MOUSE.H11MO.0.A	2.5570440773161766e-4	2.5570440773161766e-4	2.5570440773161766e-4	2.5570440773161766e-4	2.5570440773161766e-4	2.5570440773161766e-4
FOXA3_MOUSE.H11MO.0.A	3.3329207552376227e-4	3.3329207552376227e-4	3.3329207552376227e-4	3.3329207552376227e-4	3.3329207552376227e-4	3.3329207552376227e-4
FOXC1_MOUSE.H11MO.0.C	2.2241588593443595e-4	2.2241588593443595e-4	2.2241588593443595e-4	2.2241588593443595e-4	2.2241588593443595e-4	2.2241588593443595e-4
FOXC2_MOUSE.H11MO.0.D	1.984147438977296e-4	1.984147438977296e-4	1.984147438977296e-4	1.984147438977296e-4	1.984147438977296e-4	1.984147438977296e-4
FOXD1_MOUSE.H11MO.0.D	2.2751220472918304e-4	2.2751220472918304e-4	2.2751220472918304e-4	2.2751220472918304e-4	2.2751220472918304e-4	2.2751220472918304e-4
FOXD3_MOUSE.H11MO.0.C	5.574794504497616e-4	5.574794504497616e-4	5.574794504497616e-4	5.574794504497616e-4	5.574794504497616e-4	5.574794504497616e-4
FOXF1_MOUSE.H11MO.0.D	2.447798874779722e-4	2.447798874779722e-4	2.447798874779722e-4	2.447798874779722e-4	2.447798874779722e-4	2.447798874779722e-4
FOXF2_MOUSE.H11MO.0.D	2.5694890507036453e-4	2.5694890507036453e-4	2.5694890507036453e-4	2.5694890507036453e-4	2.5694890507036453e-4	2.5694890507036453e-4
FOXI1_MOUSE.H11MO.0.B	1.6268980165022604e-3	1.6268980165022604e-3	1.6268980165022604e-3	1.6268980165022604e-3	1.6268980165022604e-3	1.6268980165022604e-3
FOXJ2_MOUSE.H11MO.0.C	3.420646669109037e-4	3.420646669109037e-4	3.420646669109037e-4	3.420646669109037e-4	3.420646669109037e-4	3.420646669109037e-4
FOXJ3_MOUSE.H11MO.0.A	2.2277459766780453e-4	2.2277459766780453e-4	2.2277459766780453e-4	2.2277459766780453e-4	2.2277459766780453e-4	2.2277459766780453e-4
FOXJ3_MOUSE.H11MO.1.B	2.3883441049977493e-4	2.3883441049977493e-4	2.3883441049977493e-4	2.3883441049977493e-4	2.3883441049977493e-4	2.3883441049977493e-4
FOXK1_MOUSE.H11MO.0.A	3.961543579109034e-4	3.961543579109034e-4	3.961543579109034e-4	3.961543579109034e-4	3.961543579109034e-4	3.961543579109034e-4
FOXL2_MOUSE.H11MO.0.C	2.3008161090680342e-4	2.3008161090680342e-4	2.3008161090680342e-4	2.3008161090680342e-4	2.3008161090680342e-4	2.3008161090680342e-4
FOXM1_MOUSE.H11MO.0.B	5.133926302309516e-4	5.133926302309516e-4	5.133926302309516e-4	5.133926302309516e-4	5.133926302309516e-4	5.133926302309516e-4
FOXO1_MOUSE.H11MO.0.A	4.026284961475329e-4	4.026284961475329e-4	4.026284961475329e-4	4.026284961475329e-4	4.026284961475329e-4	4.026284961475329e-4
FOXO3_MOUSE.H11MO.0.B	3.276854651836931e-4	3.276854651836931e-4	3.276854651836931e-4	3.276854651836931e-4	3.276854651836931e-4	3.276854651836931e-4
FOXO4_MOUSE.H11MO.0.C	3.314171924411659e-4	3.314171924411659e-4	3.314171924411659e-4	3.314171924411659e-4	3.314171924411659e-4	3.314171924411659e-4
FOXP2_MOUSE.H11MO.0.A	3.1078602096881654e-4	3.1078602096881654e-4	3.1078602096881654e-4	3.1078602096881654e-4	3.1078602096881654e-4	3.1078602096881654e-4
FOXP3_MOUSE.H11MO.0.D	2.432304221922845e-4	2.432304221922845e-4	2.432304221922845e-4	2.432304221922845e-4	2.432304221922845e-4	2.432304221922845e-4
FOXQ1_MOUSE.H11MO.0.C	1.7509377494303197e-4	1.7509377494303197e-4	1.7509377494303197e-4	1.7509377494303197e-4	1.7509377494303197e-4	1.7509377494303197e-4
FUBP1_MOUSE.H11MO.0.D	2.3910397476948852e-4	2.3910397476948852e-4	2.3910397476948852e-4	2.3910397476948852e-4	2.3910397476948852e-4	2.3910397476948852e-4
GABPA_MOUSE.H11MO.0.A	2.295483662985421e-3	2.295483662985421e-3	2.295483662985421e-3	2.295483662985421e-3	2.295483662985421e-3	2.295483662985421e-3
GATA1_MOUSE.H11MO.0.A	6.010239242046938e-4	6.010239242046938e-4	6.010239242046938e-4	6.010239242046938e-4	6.010239242046938e-4	6.010239242046938e-4
GATA1_MOUSE.H11MO.1.A	6.993481597281216e-4	6.993481597281216e-4	6.993481597281216e-4	6.993481597281216e-4	6.993481597281216e-4	6.993481597281216e-4
GATA2_MOUSE.H11MO.0.A	7.103973630446095e-4	7.103973630446095e-4	7.103973630446095e-4	7.103973630446095e-4	7.103973630446095e-4	7.103973630446095e-4
GATA3_MOUSE.H11MO.0.A	6.149180073816473e-4	6.149180073816473e-4	6.149180073816473e-4	6.149180073816473e-4	6.149180073816473e-4	6.149180073816473e-4
GATA4_MOUSE.H11MO.0.A	7.056207850439646e-4	7.056207850439646e-4	7.056207850439646e-4	7.056207850439646e-4	7.056207850439646e-4	7.056207850439646e-4
GATA5_MOUSE.H11MO.0.D	2.1220581900461703e-4	2.1220581900461703e-4	2.1220581900461703e-4	2.1220581900461703e-4	2.1220581900461703e-4	2.1220581900461703e-4
GATA6_MOUSE.H11MO.0.A	9.173083329003101e-4	9.173083329003101e-4	9.173083329003101e-4	9.173083329003101e-4	9.173083329003101e-4	9.173083329003101e-4
GCM1_MOUSE.H11MO.0.D	2.464490125512651e-4	2.464490125512651e-4	2.464490125512651e-4	2.464490125512651e-4	2.464490125512651e-4	2.464490125512651e-4
GCR_MOUSE.H11MO.0.A	4.494419084458005e-4	4.494419084458005e-4	4.494419084458005e-4	4.494419084458005e-4	4.494419084458005e-4	4.494419084458005e-4
GCR_MOUSE.H11MO.1.A	6.155126964133128e-4	6.155126964133128e-4	6.155126964133128e-4	6.155126964133128e-4	6.155126964133128e-4	6.155126964133128e-4
GFI1_MOUSE.H11MO.0.C	3.7147399738862545e-4	3.7147399738862545e-4	3.7147399738862545e-4	3.7147399738862545e-4	3.7147399738862545e-4	3.7147399738862545e-4
GFI1B_MOUSE.H11MO.0.A	4.4866981650400336e-4	4.4866981650400336e-4	4.4866981650400336e-4	4.4866981650400336e-4	4.4866981650400336e-4	4.4866981650400336e-4
GLI1_MOUSE.H11MO.0.C	5.6160056270578e-4	5.6160056270578e-4	5.6160056270578e-4	5.6160056270578e-4	5.6160056270578e-4	5.6160056270578e-4
GLI2_MOUSE.H11MO.0.D	8.267017826669182e-5	8.267017826669182e-5	8.267017826669182e-5	8.267017826669182e-5	8.267017826669182e-5	8.267017826669182e-5
GLI3_MOUSE.H11MO.0.D	6.745547733805204e-4	6.745547733805204e-4	6.745547733805204e-4	6.745547733805204e-4	6.745547733805204e-4	6.745547733805204e-4
GLIS3_MOUSE.H11MO.0.D	2.104301321280169e-4	2.104301321280169e-4	2.104301321280169e-4	2.104301321280169e-4	2.104301321280169e-4	2.104301321280169e-4
